,Suburb,Location,Region,Reported,Updated,Type,Information
127,Melbourne,Citylink,Melbourne-metropolitan,"14 Jan, 2016 - 4:46 PM","14 Jan, 2016 - 5:14 PM",All Lanes Now Open - Vehicle Collision,0
128,Nillumbik,Metropolitan Ring Road (M80),Melbourne-metropolitan,"14 Jan, 2016 - 4:16 PM","14 Jan, 2016 - 4:46 PM",All Lanes Now Open - Vehicle Collision,0
129,Monash,Monash Freeway (M1),Melbourne-metropolitan,"14 Jan, 2016 - 3:50 PM","14 Jan, 2016 - 4:40 PM",All Lanes Now Open - Vehicle Collision,0
130,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"15 Jan, 2016 - 6:16 PM","15 Jan, 2016 - 6:29 PM",All Lanes Now Open - Vehicle Collision,0
131,Frankston,Cranbourne Road,Melbourne-metropolitan,"15 Jan, 2016 - 5:27 PM","15 Jan, 2016 - 5:28 PM",Traffic Alert - Emergency Works,Left lane closed outbound at Willis St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 9:00pm. 
132,Hobsons-bay,Melbourne Road,Melbourne-metropolitan,"15 Jan, 2016 - 2:59 PM","15 Jan, 2016 - 9:43 PM",Road Closed - Vehicle Collision,Truck has brought down power lines at Mason St. Road closed in both directions. Traffic being diverted. Avoid the area if possible. Road expected to remain closed into peak while repairs take place. 
133,East-gippsland,Princes Highway (A1),Gippsland,"15 Jan, 2016 - 12:27 PM","21 Jan, 2016 - 2:41 PM",Incident Cleared - Emergency Incident,0
134,Port-phillip,Montague Street,Melbourne-metropolitan,"15 Jan, 2016 - 12:11 PM","15 Jan, 2016 - 12:12 PM",Traffic Alert - Vehicle Collision,Truck stuck under rail overpass. Avoid the area if possible. 
135,Moreland,Coonans Road,Melbourne-metropolitan,"15 Jan, 2016 - 11:27 AM","15 Jan, 2016 - 11:51 AM",Incident Cleared - Emergency Incident,0
136,Monash,Police Road,Melbourne-metropolitan,"15 Jan, 2016 - 9:54 AM",0,Traffic Alert - Emergency Works,Left lane closed eastbound near Hansworth Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
137,Kingston,Beach Road,Melbourne-metropolitan,"15 Jan, 2016 - 9:46 AM","15 Jan, 2016 - 9:47 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Birdswood St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
138,Moreland,Nicholson Street,Melbourne-metropolitan,"15 Jan, 2016 - 9:24 AM","15 Jan, 2016 - 9:25 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Glenlyon Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
139,Whitehorse,Canterbury Road,Melbourne-metropolitan,"15 Jan, 2016 - 9:19 AM","15 Jan, 2016 - 11:42 AM",Incident Cleared - Vehicle Collision,0
140,Maroondah,Ringwood Bypass (M3),Melbourne-metropolitan,"17 Jan, 2016 - 6:19 AM","17 Jan, 2016 - 6:56 AM",Road Reopened - Vehicle Collision,0
141,Port-phillip,Beach Street,Melbourne-metropolitan,"17 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 06:00 AM to 11:00 AM. Event speed limit 40 km/h. Traffic delay 0 to 5 min.
142,Manningham,Williamsons Road,Melbourne-metropolitan,"16 Jan, 2016 - 5:07 PM","16 Jan, 2016 - 5:11 PM",Road Closed - Police Incident,Road closed due to a Police incident. Police are on site directing traffic. It is not known when the road will reopen.VicRoads advises drivers to avoid the area.
143,Maribyrnong,Buckley Street,Melbourne-metropolitan,"16 Jan, 2016 - 10:35 AM","16 Jan, 2016 - 10:36 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Bilston St for water works. Speed limit reduced to 40km/h. Works expected to finish by 2.00pm. VicRoads advises motorists to take care through the area. 
144,Darebin,Plenty Road,Melbourne-metropolitan,"16 Jan, 2016 - 9:28 AM","16 Jan, 2016 - 11:54 AM",Traffic Alert - Emergency Works,Left lane closed northbound at McColl St for water works. Speed limit reduced to 40km/h. Works expected to finish by 6.00pm. VicRoads advises motorists to take care through the area. 
145,Monash,Waverley Road,Melbourne-metropolitan,"16 Jan, 2016 - 9:25 AM","16 Jan, 2016 - 9:26 AM",Traffic Alert - Emergency Works,Left lane closed westbound at Blackburn Rd for water works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to take care through the area. 
146,Campaspe,"Murray Valley Highway (B75, B400)",Loddon-mallee,"16 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,Event from 12:00 PM to 09:00 PM. Event speed limit 60 km/h. Traffic delay 6 to 10 min.
147,Campaspe,Murray Valley Highway (B400),Loddon-mallee,"16 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,Event from 12:00 PM to 09:00 PM. Event speed limit 60 km/h. Traffic delay 6 to 10 min.
148,Campaspe,High Street (C349),Loddon-mallee,"16 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,Event from 12:00 PM to 09:00 PM. Event speed limit 60 km/h. Traffic delay 6 to 10 min.
149,Wyndham,Western Ring Road (M80),Melbourne-metropolitan,"15 Jan, 2016 - 8:39 PM","15 Jan, 2016 - 8:55 PM",Traffic Alert - Vehicle Collision,Update - the  vehicles involved in the collision have been cleared from the road.  All lanes are now open with traffic moving at a reduced speed past the incident.The traffic queue is reducing. Emergency services and Vicroads are in attendance.
150,Banyule,Para Road,Melbourne-metropolitan,"18 Jan, 2016 - 9:46 AM","18 Jan, 2016 - 9:47 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Rattray Rd for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
151,Melbourne,Flinders Street,Melbourne-metropolitan,"18 Jan, 2016 - 9:30 AM","18 Jan, 2016 - 9:31 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near King St for works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
152,Boroondara,Studley Park Road,Melbourne-metropolitan,"18 Jan, 2016 - 8:38 AM","18 Jan, 2016 - 3:04 PM",Traffic Alert - Emergency Works,Left lane closed westbound near Hyten Cr for power works. Speed limit reduced to 40km/h. Works expected to be completed by 5:00pm. 
153,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"18 Jan, 2016 - 7:02 AM","18 Jan, 2016 - 1:57 PM",All Lanes Now Open - Vehicle Breakdown,0
154,Melbourne,Olympic Boulevard,Melbourne-metropolitan,"18 Jan, 2016 - 12:00 AM","31 Jan, 2016 - 12:00 AM",Sporting/Social Event - 1 lane closed both directions,Australian Open 2016. Event speed limit 40 km/h. Traffic delay greater than 10 min.
155,Yarra,Olympic Boulevard,Melbourne-metropolitan,"18 Jan, 2016 - 12:00 AM","31 Jan, 2016 - 12:00 AM",Sporting/Social Event - road closed,Australian Open 2016. An international tennis event  for two weeks. Patrons encouraged to use public transport. Expect traffic delay 6 to 10 min.
156,Port-phillip,Beaconsfield Parade,Melbourne-metropolitan,"17 Jan, 2016 - 10:25 PM","17 Jan, 2016 - 10:32 PM",Traffic Alert - Emergency Works,0
157,Cardinia,South Gippsland Highway (M420),Melbourne-metropolitan,"17 Jan, 2016 - 7:16 PM","17 Jan, 2016 - 7:20 PM",Incident Cleared - Road Damage,0
158,Murrindindi,Melba Highway (B300),Hume,"17 Jan, 2016 - 5:54 PM","17 Jan, 2016 - 7:19 PM",Incident Cleared - Vehicle Collision,0
159,Whittlesea,Yan Yean Road,Melbourne-metropolitan,"17 Jan, 2016 - 10:49 AM","17 Jan, 2016 - 10:51 AM",Traffic Alert - Emergency Works,Yan Yean Rd closed between Arthurs Creek Rd and  Flaxon Hills Rd due to a burst water main.Emergency services on site.
160,Whittlesea,Metropolitan Ring Road (M80),Melbourne-metropolitan,"18 Jan, 2016 - 1:59 PM","18 Jan, 2016 - 2:00 PM",1 lane closed westbound - Vehicle Collision,Collision near Dalton Rd has right lane closed Altona-bound. 
161,Monash,Blackburn Road,Melbourne-metropolitan,"18 Jan, 2016 - 1:32 PM","18 Jan, 2016 - 1:33 PM",Traffic Alert - Emergency Works,Left lane closed southbound near Monash Fwy for power works. Speed limit reduced to 40km/h. 
162,Yarra-ranges,Warburton Highway (B380),Melbourne-metropolitan,"18 Jan, 2016 - 1:13 PM","18 Jan, 2016 - 1:14 PM",Traffic Alert - Emergency Works,Left lane closed outbound at Britannia Creek Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
163,Yarra-ranges,Mount Dandenong Tourist Road (C415),Melbourne-metropolitan,"18 Jan, 2016 - 11:47 AM","18 Jan, 2016 - 11:48 AM",Traffic Alert - Emergency Works,Shuttle flow in place near Childs Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
164,Brimbank,Station Road,Melbourne-metropolitan,"18 Jan, 2016 - 11:09 AM","18 Jan, 2016 - 11:10 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Ballarat Rd for NBN works. Speed limit reduced to 40km/h. 
165,Whitehorse,Blackburn Road,Melbourne-metropolitan,"18 Jan, 2016 - 11:05 AM","18 Jan, 2016 - 11:06 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Faulkner St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
166,Stonnington,Toorak Road,Melbourne-metropolitan,"18 Jan, 2016 - 10:59 AM","18 Jan, 2016 - 11:02 AM",Traffic Alert - Emergency Works,Contra flow in place near Glenferrie Rd due to burst water main. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
167,Whittlesea,Dalton Road,Melbourne-metropolitan,"18 Jan, 2016 - 10:57 AM","18 Jan, 2016 - 10:58 AM",Traffic Alert - Emergency Works,2 lanes closed westbound between Dalton Rd and High St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
168,Cardinia,Station Street (C422),Melbourne-metropolitan,"18 Jan, 2016 - 9:50 AM","18 Jan, 2016 - 9:52 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near William St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 4:30pm. 
169,Whittlesea,Whittlesea-Yea Road (C725),Melbourne-metropolitan,"18 Jan, 2016 - 9:48 AM","18 Jan, 2016 - 9:49 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Humevale Rd for bus shelter works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
170,Yarra,Brunswick Street,Melbourne-metropolitan,"19 Jan, 2016 - 5:41 AM","19 Jan, 2016 - 6:53 AM",Traffic Alert - Emergency Incident,Road closed between Alexandra Pde and Leicester St due to a building fire.Emergency services on site. VicRoads advises motorists to seek an alternate route. 
171,Mornington-peninsula,The Esplanade,Melbourne-metropolitan,"19 Jan, 2016 - 12:15 AM","20 Jan, 2016 - 3:00 PM",Road Reopened - Fire,0
172,Mornington-peninsula,Woolleys Road,Melbourne-metropolitan,"19 Jan, 2016 - 12:13 AM","20 Jan, 2016 - 2:58 PM",Road Reopened - Fire,0
173,Mornington-peninsula,Point Road,Melbourne-metropolitan,"19 Jan, 2016 - 12:09 AM","20 Jan, 2016 - 2:59 PM",Road Reopened - Fire,0
174,Mornington-peninsula,Disney Street,Melbourne-metropolitan,"18 Jan, 2016 - 11:51 PM","19 Jan, 2016 - 10:25 AM",Road Reopened - Fire,0
175,Glen-eira,North Road,Melbourne-metropolitan,"18 Jan, 2016 - 4:49 PM","18 Jan, 2016 - 4:56 PM",Road Closed - Vehicle Collision,Collision at the Ormond Station railway crossing has road closed in both directions. Avoid the area if possible. Consider McKinnon Rd or Centre Rd as alternatives. 
176,Mornington-peninsula,The Esplanade,Melbourne-metropolitan,"18 Jan, 2016 - 4:46 PM","18 Jan, 2016 - 4:48 PM",Road Closed - Fire,Fire has road closed in Crib Point. Avoid the area. 
177,Mornington-peninsula,The Esplanade,Melbourne-metropolitan,"18 Jan, 2016 - 4:46 PM","18 Jan, 2016 - 4:48 PM",Road Closed - Fire,Fire has road closed in Crib Point. Avoid the area. 
178,Monash,Huntingdale Road,Melbourne-metropolitan,"18 Jan, 2016 - 4:16 PM","20 Jan, 2016 - 5:21 AM",Road Reopened - Road Damage,0
179,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"18 Jan, 2016 - 3:31 PM","18 Jan, 2016 - 3:41 PM",All Lanes Now Open - Vehicle Collision,0
180,Darebin,Bell Street,Melbourne-metropolitan,"19 Jan, 2016 - 12:02 PM","19 Jan, 2016 - 12:03 PM",Traffic Alert - Emergency Works,Left lane closed eastbound at Albert St for telecommunication works. Speed limit reduced to 40km/h.Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
181,Brimbank,Calder Freeway (M79),Melbourne-metropolitan,"19 Jan, 2016 - 10:20 AM","19 Jan, 2016 - 10:23 AM",1 lane closed inbound - Vehicle Collision,Left lanes closed inbound near Maribyrnong River due to a collision. VicRoads and emergency services on site. Delays on the approach. VicRoads advises motorists to allow extra time.
182,Maroondah,Mt Dandenong Road,Melbourne-metropolitan,"19 Jan, 2016 - 9:38 AM","19 Jan, 2016 - 9:47 AM",All lanes closed westbound - Police Incident,All lanes closed westbound between Ruskin Ave and Dorset Rd due to a Police incident. We expect the westbound lanes to remain closed into this afternoon. VicRoads advises motorists to avoid the area and use local detours. 
183,Maribyrnong,Francis Street,Melbourne-metropolitan,"19 Jan, 2016 - 9:19 AM","19 Jan, 2016 - 9:21 AM",Traffic Alert - Emergency Works,Left lane closed southbound at Eirene St for gas works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
184,Monash,Police Road,Melbourne-metropolitan,"19 Jan, 2016 - 9:17 AM","19 Jan, 2016 - 1:35 PM",Incident Cleared - Emergency Works,0
185,Yarra-ranges,Maroondah Highway (B360),Melbourne-metropolitan,"19 Jan, 2016 - 9:10 AM","19 Jan, 2016 - 9:16 AM",Traffic Alert - Emergency Works,Left lane closed inbound at Maroondah Pde for power works. Speed limit reduced to 40km/h. Works expected to finish by 12.00pm. VicRoads advises motorists to take care through the area. 
186,Banyule,Mcarthur Road,Melbourne-metropolitan,"19 Jan, 2016 - 8:43 AM","19 Jan, 2016 - 8:45 AM",Traffic Alert - Emergency Works,Road closed between Veitch St and Lower Heidelberg Rd for water works. Detour via Wamcliffe St. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
187,Moreland,Nicholson Street,Melbourne-metropolitan,"19 Jan, 2016 - 8:39 AM","19 Jan, 2016 - 8:41 AM",Traffic Alert - Emergency Works,Left lane closed outbound at Glenlyon St for gas works. Speed limit reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises motorists to take care through the area. 
188,Maroondah,Canterbury Road,Melbourne-metropolitan,"19 Jan, 2016 - 8:36 AM","19 Jan, 2016 - 8:38 AM",Traffic Alert - Emergency Works,Left lane closed westbound at Bayswater Rd for water works. Speed limit reduced to 40km/h. Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
189,Manningham,Springvale Road,Melbourne-metropolitan,"19 Jan, 2016 - 8:17 AM","19 Jan, 2016 - 10:15 AM",Road Reopened - Vehicle Collision,0
190,Macedon-ranges,Edgecombe Road (C326),Loddon-mallee,"19 Jan, 2016 - 4:18 PM","19 Jan, 2016 - 4:20 PM",Road Closed - Emergency Services Access Only - Fire,Road closed between Ennis Rd and Hallorans Ln due to fire activity. Smoke will be visible in the area. If driving in smokey conditions please turn your headlights on and leave extra room between your vehicle and the one in front. VicRoads advises motorists to avoid the area. 
191,Cardinia,Bass Highway (M420),Melbourne-metropolitan,"19 Jan, 2016 - 3:54 PM","19 Jan, 2016 - 11:45 PM",All Lanes Now Open - Vehicle Collision,0
192,Latrobe,Princes Freeway (M1),Gippsland,"19 Jan, 2016 - 3:17 PM","20 Jan, 2016 - 8:38 AM",Incident Cleared - Road Damage,0
193,Latrobe,Princes Freeway (M1),Gippsland,"19 Jan, 2016 - 3:06 PM","19 Jan, 2016 - 3:30 PM",1 lane closed southbound - Vehicle Collision,All lanes closed southbound near Old Gippstown Dve due to a multi-vehicle collision. Emergency services are on site. VicRoads advises motorists to seek an alternate route. 
194,Mornington-peninsula,Lorimer Street,Melbourne-metropolitan,"19 Jan, 2016 - 12:52 PM","20 Jan, 2016 - 3:02 PM",Road Reopened - Fire,0
195,Mornington-peninsula,Disney Street,Melbourne-metropolitan,"19 Jan, 2016 - 12:49 PM","20 Jan, 2016 - 3:01 PM",Road Reopened - Fire,0
196,Mornington-peninsula,Governors Road,Melbourne-metropolitan,"19 Jan, 2016 - 12:47 PM","20 Jan, 2016 - 2:59 PM",Road Reopened - Fire,0
197,Dandenong,Stud Road,Melbourne-metropolitan,"19 Jan, 2016 - 12:08 PM","19 Jan, 2016 - 12:09 PM",Traffic Alert - Emergency Works,Left lane closed northbound at Grave Ave for burst water main works. Speed limit reduced to 40km/h.Works expected to finish by 4.00pm. VicRoads advises motorists to take care through the area. 
198,Melbourne,Flinders Street,Melbourne-metropolitan,"19 Jan, 2016 - 12:05 PM","19 Jan, 2016 - 12:06 PM",Traffic Alert - Emergency Works,Left lane closed eastbound near Highlander Rd for water works. Speed limit reduced to 40km/h.Works expected to finish by 3.30pm. VicRoads advises motorists to take care through the area. 
199,Whitehorse,Station Street,Melbourne-metropolitan,"19 Jan, 2016 - 12:04 PM",0,Traffic Alert - Emergency Works,Traffic alternated through open lane at Tyne St for gas works. Speed limit reduced to 40km/h.Works expected to finish by 3.00pm. VicRoads advises motorists to take care through the area. 
200,Dandenong,Eastlink (M3),Melbourne-metropolitan,"20 Jan, 2016 - 7:07 AM","20 Jan, 2016 - 7:09 AM",2 lanes closed inbound - Vehicle Collision,Right and left lanes closed inbound at Dandenong Bypass due to a multi-vehicle collision. Middle lane is getting through. Delays back past Greens Rd.VicRoads advises motorists to seek an alternate route. 
201,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"20 Jan, 2016 - 7:05 AM","20 Jan, 2016 - 7:06 AM",1 lane closed inbound - Vehicle Collision,Right lane closed inbound near Grieve Pde due to a multi-vehicle collision. Delays building on the approach. VicRoads is on the way. VicRoads advises motorists to allow extra time through the area. 
202,Mornington-peninsula,Arthurs Seat Road (C789),Melbourne-metropolitan,"20 Jan, 2016 - 4:28 AM","20 Jan, 2016 - 11:49 AM",Road Reopened - Fire,0
203,Yarra-ranges,Monbulk Road (C404),Melbourne-metropolitan,"20 Jan, 2016 - 1:10 AM","20 Jan, 2016 - 1:13 AM",Traffic Alert - Emergency Incident,Road is closed due to power lines down on road.Detour is via Baynes Park Rd to Main Street.Road is expected to be closed for a couple of hours whilst power lines are repaired.
204,Pyrenees,Skipton Road (C172),Grampians,"19 Jan, 2016 - 6:43 PM","19 Jan, 2016 - 6:46 PM",Road Closed - Emergency Services Access Only - Fire,Road closed at Lake Goldsmith due to fire activity. VicRoads advises motorists to avoid the area. 
205,Port-phillip,Jacka Boulevard,Melbourne-metropolitan,"19 Jan, 2016 - 5:52 PM","19 Jan, 2016 - 5:53 PM",Traffic Alert - Emergency Works,Left lane closed inbound at Cavell St due to a burst water main. Speed limit reduced to 40km/h. Works expected to finish by midnight. VicRoads advises motorists to take care through the area. 
206,Shepparton,Goulburn Valley Highway (A39),Hume,"19 Jan, 2016 - 4:55 PM","19 Jan, 2016 - 4:56 PM",Road Closed - Fire,Road closed at McKenzie Rd due to a truck fire. Emergency services are on site. Motorists are advised to seek an alternate route. 
207,Shepparton,Goulburn Valley Highway (A39),Hume,"19 Jan, 2016 - 4:47 PM","19 Jan, 2016 - 11:43 PM",All Lanes Now Open - Vehicle Breakdown,0
